CustomerID,Lookalike1,Lookalike2,Lookalike3
C0001,"('C0184', 0.980683721291311)","('C0048', 0.9159522468896409)","('C0190', 0.8825525815718753)"
C0002,"('C0088', 0.9961165644909171)","('C0144', 0.9429453851136267)","('C0062', 0.9284435267898753)"
C0003,"('C0147', 0.8021537228313854)","('C0174', 0.7289176975937227)","('C0038', 0.6433385388349987)"
C0004,"('C0169', 0.9875003832328305)","('C0090', 0.965496066455629)","('C0153', 0.9535821101365164)"
C0005,"('C0186', 0.9962239649574959)","('C0140', 0.9933694698444624)","('C0146', 0.9847579979429362)"
C0006,"('C0187', 0.9723370366705559)","('C0011', 0.8806315812327037)","('C0048', 0.7126931842199449)"
C0007,"('C0146', 0.9999895217574927)","('C0005', 0.9840092219796267)","('C0140', 0.9809589352086007)"
C0008,"('C0136', 0.9297986542634409)","('C0113', 0.8825615619320274)","('C0018', 0.8769946144269241)"
C0009,"('C0198', 0.9999760763775477)","('C0063', 0.9733554581458037)","('C0058', 0.9565740034156933)"
C0010,"('C0062', 0.9209642683472556)","('C0019', 0.8995849843225958)","('C0002', 0.8903589761450964)"
C0011,"('C0006', 0.8806315812327037)","('C0137', 0.7598230934478793)","('C0187', 0.7466875804339567)"
C0012,"('C0163', 0.9910695585624127)","('C0113', 0.9571783888700758)","('C0153', 0.941136401058079)"
C0013,"('C0108', 0.969863963619882)","('C0155', 0.9601625912923706)","('C0145', 0.9483077132974235)"
C0014,"('C0060', 0.9993589934155978)","('C0097', 0.980963861750253)","('C0128', 0.9804271891242506)"
C0015,"('C0058', 0.9800696987256149)","('C0033', 0.9773855716017622)","('C0020', 0.974250639661788)"
C0016,"('C0183', 0.9400773697064325)","('C0040', 0.8071023863898099)","('C0067', 0.7420089545989239)"
C0017,"('C0090', 0.9365713602514658)","('C0057', 0.9231500623579173)","('C0004', 0.9110477954630641)"
C0018,"('C0122', 0.9834643023613725)","('C0046', 0.9819739012993156)","('C0101', 0.9102119822958397)"
C0019,"('C0073', 0.9925270043580491)","('C0132', 0.9535029596103094)","('C0167', 0.9182028314596873)"
C0020,"('C0015', 0.974250639661788)","('C0058', 0.956288233880855)","('C0130', 0.9539411106731496)"
